Symbol,Buy/Sell,CBT,Target Price,Status,ExitPrice,ExitDate,2026-06-11_DayMaxProfit,2026-06-11_DayMaxLoss,2026-06-11_MaxProfit,2026-06-11_MaxLoss,2026-06-11_MaxDrawdown,2026-06-11_CurrentPnL,2026-06-12_DayMaxProfit,2026-06-12_DayMaxLoss,2026-06-12_MaxProfit,2026-06-12_MaxLoss,2026-06-12_MaxDrawdown,2026-06-12_CurrentPnL,2026-06-15_DayMaxProfit,2026-06-15_DayMaxLoss,2026-06-15_MaxProfit,2026-06-15_MaxLoss,2026-06-15_MaxDrawdown,2026-06-15_CurrentPnL,2026-06-16_DayMaxProfit,2026-06-16_DayMaxLoss,2026-06-16_MaxProfit,2026-06-16_MaxLoss,2026-06-16_MaxDrawdown,2026-06-16_CurrentPnL,2026-06-17_DayMaxProfit,2026-06-17_DayMaxLoss,2026-06-17_MaxProfit,2026-06-17_MaxLoss,2026-06-17_MaxDrawdown,2026-06-17_CurrentPnL,2026-06-18_DayMaxProfit,2026-06-18_DayMaxLoss,2026-06-18_MaxProfit,2026-06-18_MaxLoss,2026-06-18_MaxDrawdown,2026-06-18_CurrentPnL,2026-06-22_DayMaxProfit,2026-06-22_DayMaxLoss,2026-06-22_MaxProfit,2026-06-22_MaxLoss,2026-06-22_MaxDrawdown,2026-06-22_CurrentPnL,2026-06-23_DayMaxProfit,2026-06-23_DayMaxLoss,2026-06-23_MaxProfit,2026-06-23_MaxLoss,2026-06-23_MaxDrawdown,2026-06-23_CurrentPnL,2026-06-24_DayMaxProfit,2026-06-24_DayMaxLoss,2026-06-24_MaxProfit,2026-06-24_MaxLoss,2026-06-24_MaxDrawdown,2026-06-24_CurrentPnL,2026-06-25_DayMaxProfit,2026-06-25_DayMaxLoss,2026-06-25_MaxProfit,2026-06-25_MaxLoss,2026-06-25_MaxDrawdown,2026-06-25_CurrentPnL,2026-06-26_DayMaxProfit,2026-06-26_DayMaxLoss,2026-06-26_MaxProfit,2026-06-26_MaxLoss,2026-06-26_MaxDrawdown,2026-06-26_CurrentPnL,2026-06-29_DayMaxProfit,2026-06-29_DayMaxLoss,2026-06-29_MaxProfit,2026-06-29_MaxLoss,2026-06-29_MaxDrawdown,2026-06-29_CurrentPnL,2026-06-30_DayMaxProfit,2026-06-30_DayMaxLoss,2026-06-30_MaxProfit,2026-06-30_MaxLoss,2026-06-30_MaxDrawdown,2026-06-30_CurrentPnL,2026-07-01_DayMaxProfit,2026-07-01_DayMaxLoss,2026-07-01_MaxProfit,2026-07-01_MaxLoss,2026-07-01_MaxDrawdown,2026-07-01_CurrentPnL,2026-07-02_DayMaxProfit,2026-07-02_DayMaxLoss,2026-07-02_MaxProfit,2026-07-02_MaxLoss,2026-07-02_MaxDrawdown,2026-07-02_CurrentPnL,2026-07-06_DayMaxProfit,2026-07-06_DayMaxLoss,2026-07-06_MaxProfit,2026-07-06_MaxLoss,2026-07-06_MaxDrawdown,2026-07-06_CurrentPnL,2026-07-07_DayMaxProfit,2026-07-07_DayMaxLoss,2026-07-07_MaxProfit,2026-07-07_MaxLoss,2026-07-07_MaxDrawdown,2026-07-07_CurrentPnL,2026-07-08_DayMaxProfit,2026-07-08_DayMaxLoss,2026-07-08_MaxProfit,2026-07-08_MaxLoss,2026-07-08_MaxDrawdown,2026-07-08_CurrentPnL,2026-07-09_DayMaxProfit,2026-07-09_DayMaxLoss,2026-07-09_MaxProfit,2026-07-09_MaxLoss,2026-07-09_MaxDrawdown,2026-07-09_CurrentPnL,2026-07-10_DayMaxProfit,2026-07-10_DayMaxLoss,2026-07-10_MaxProfit,2026-07-10_MaxLoss,2026-07-10_MaxDrawdown,2026-07-10_CurrentPnL,2026-07-13_DayMaxProfit,2026-07-13_DayMaxLoss,2026-07-13_MaxProfit,2026-07-13_MaxLoss,2026-07-13_MaxDrawdown,2026-07-13_CurrentPnL,2026-07-14_DayMaxProfit,2026-07-14_DayMaxLoss,2026-07-14_MaxProfit,2026-07-14_MaxLoss,2026-07-14_MaxDrawdown,2026-07-14_CurrentPnL,2026-07-15_DayMaxProfit,2026-07-15_DayMaxLoss,2026-07-15_MaxProfit,2026-07-15_MaxLoss,2026-07-15_MaxDrawdown,2026-07-15_CurrentPnL,2026-07-16_DayMaxProfit,2026-07-16_DayMaxLoss,2026-07-16_MaxProfit,2026-07-16_MaxLoss,2026-07-16_MaxDrawdown,2026-07-16_CurrentPnL,2026-07-17_DayMaxProfit,2026-07-17_DayMaxLoss,2026-07-17_MaxProfit,2026-07-17_MaxLoss,2026-07-17_MaxDrawdown,2026-07-17_CurrentPnL,2026-07-20_DayMaxProfit,2026-07-20_DayMaxLoss,2026-07-20_MaxProfit,2026-07-20_MaxLoss,2026-07-20_MaxDrawdown,2026-07-20_CurrentPnL,2026-07-21_DayMaxProfit,2026-07-21_DayMaxLoss,2026-07-21_MaxProfit,2026-07-21_MaxLoss,2026-07-21_MaxDrawdown,2026-07-21_CurrentPnL,2026-07-22_DayMaxProfit,2026-07-22_DayMaxLoss,2026-07-22_MaxProfit,2026-07-22_MaxLoss,2026-07-22_MaxDrawdown,2026-07-22_CurrentPnL,2026-07-23_DayMaxProfit,2026-07-23_DayMaxLoss,2026-07-23_MaxProfit,2026-07-23_MaxLoss,2026-07-23_MaxDrawdown,2026-07-23_CurrentPnL,2026-07-24_DayMaxProfit,2026-07-24_DayMaxLoss,2026-07-24_MaxProfit,2026-07-24_MaxLoss,2026-07-24_MaxDrawdown,2026-07-24_CurrentPnL,2026-07-27_DayMaxProfit,2026-07-27_DayMaxLoss,2026-07-27_MaxProfit,2026-07-27_MaxLoss,2026-07-27_MaxDrawdown,2026-07-27_CurrentPnL,2026-07-28_DayMaxProfit,2026-07-28_DayMaxLoss,2026-07-28_MaxProfit,2026-07-28_MaxLoss,2026-07-28_MaxDrawdown,2026-07-28_CurrentPnL,2026-07-29_DayMaxProfit,2026-07-29_DayMaxLoss,2026-07-29_MaxProfit,2026-07-29_MaxLoss,2026-07-29_MaxDrawdown,2026-07-29_CurrentPnL,2026-07-30_DayMaxProfit,2026-07-30_DayMaxLoss,2026-07-30_MaxProfit,2026-07-30_MaxLoss,2026-07-30_MaxDrawdown,2026-07-30_CurrentPnL,2026-07-31_DayMaxProfit,2026-07-31_DayMaxLoss,2026-07-31_MaxProfit,2026-07-31_MaxLoss,2026-07-31_MaxDrawdown,2026-07-31_CurrentPnL,2026-08-03_DayMaxProfit,2026-08-03_DayMaxLoss,2026-08-03_MaxProfit,2026-08-03_MaxLoss,2026-08-03_MaxDrawdown,2026-08-03_CurrentPnL,2026-08-04_DayMaxProfit,2026-08-04_DayMaxLoss,2026-08-04_MaxProfit,2026-08-04_MaxLoss,2026-08-04_MaxDrawdown,2026-08-04_CurrentPnL
ORCL,Buy,200.56,236.01,Open,,,-7.87,-12.60,-7.87,-12.60,-12.60,-8.21,-7.47,-10.75,-7.47,-12.60,-12.60,-8.19,-2.61,-7.15,-2.61,-12.60,-12.60,-3.95,-2.61,-6.43,-2.61,-12.60,-12.60,-6.10,-5.17,-8.96,-2.61,-12.60,-12.60,-8.49,-6.27,-11.40,-2.61,-12.60,-12.60,-8.11,-7.97,-13.04,-2.61,-13.04,-13.04,-12.71,-13.08,-17.92,-2.61,-17.92,-17.92,-17.65,-17.36,-22.54,-2.61,-22.54,-22.54,-21.45,-21.41,-25.03,-2.61,-25.03,-25.03,-23.98,-23.44,-26.21,-2.61,-26.21,-26.21,-25.94,-22.97,-27.60,-2.61,-27.60,-27.60,-26.33,-25.24,-27.96,-2.61,-27.96,-27.96,-26.93,-26.43,-28.95,-2.61,-28.95,-28.95,-28.95,-26.68,-30.78,-2.61,-30.78,-30.78,-30.06,-27.39,-29.62,-2.61,-30.78,-30.78,-28.32,-27.42,-31.42,-2.61,-31.42,-31.42,-29.40,-29.28,-31.42,-2.61,-31.42,-31.42,-29.95,-25.67,-29.73,-2.61,-31.42,-31.42,-28.09,-27.36,-30.56,-2.61,-31.42,-31.42,-29.88,-30.37,-34.51,-2.61,-34.51,-34.51,-34.41,-33.81,-36.38,-2.61,-36.38,-36.38,-36.21,-33.24,-35.76,-2.61,-36.38,-36.38,-33.94,-34.29,-38.34,-2.61,-38.34,-38.34,-38.07,-35.96,-39.42,-2.61,-39.42,-39.42,-36.97,-37.43,-40.15,-2.61,-40.15,-40.15,-39.48,-36.47,-39.07,-2.61,-40.15,-40.15,-36.65,-35.76,-37.82,-2.61,-40.15,-40.15,-37.26,-37.82,-40.45,-2.61,-40.45,-40.45,-40.15,-38.63,-42.79,-2.61,-42.79,-42.79,-42.67,-39.18,-41.76,-2.61,-42.79,-42.79,-40.22,-39.01,-42.91,-2.61,-42.91,-42.91,-40.19,-39.21,-42.06,-2.61,-42.91,-42.91,-41.29,-36.01,-39.38,-2.61,-42.91,-42.91,-36.40,-33.98,-37.33,-2.61,-42.91,-42.91,-35.25,-28.66,-35.08,-2.61,-42.91,-42.91,-29.27,-25.86,-29.69,-2.61,-42.91,-42.91,-27.33
ADBE,Buy,233.38,266.29,Open,,,-0.38,-6.55,-0.38,-6.55,-6.55,-6.25,-11.88,-15.63,-0.38,-15.63,-15.63,-12.58,-9.17,-11.85,-0.38,-15.63,-15.63,-11.58,-9.68,-12.66,-0.38,-15.63,-15.63,-11.17,-11.52,-16.44,-0.38,-16.44,-16.44,-15.90,-15.68,-18.54,-0.38,-18.54,-18.54,-16.38,-14.62,-18.07,-0.38,-18.54,-18.54,-16.49,-14.07,-16.30,-0.38,-18.54,-18.54,-15.40,-13.27,-16.40,-0.38,-18.54,-18.54,-15.77,-14.60,-17.82,-0.38,-18.54,-18.54,-17.13,-12.81,-16.32,-0.38,-18.54,-18.54,-13.13,-10.22,-12.44,-0.38,-18.54,-18.54,-11.55,-11.90,-13.74,-0.38,-18.54,-18.54,-12.15,-8.45,-11.28,-0.38,-18.54,-18.54,-9.60,-4.81,-8.42,-0.38,-18.54,-18.54,-5.85,-5.84,-8.78,-0.38,-18.54,-18.54,-6.56,-1.13,-5.61,-0.38,-18.54,-18.54,-5.07,-4.66,-7.05,-0.38,-18.54,-18.54,-5.33,-4.57,-8.69,-0.38,-18.54,-18.54,-4.60,-2.13,-4.52,-0.38,-18.54,-18.54,-4.17,-0.56,-3.59,-0.38,-18.54,-18.54,-1.19,-3.93,-6.59,-0.38,-18.54,-18.54,-5.40,-0.79,-4.49,-0.38,-18.54,-18.54,-3.78,0.90,-4.86,0.90,-18.54,-18.54,0.83,2.90,-0.44,2.90,-18.54,-18.54,1.66,1.41,-2.52,2.90,-18.54,-18.54,0.58,-0.81,-4.75,2.90,-18.54,-18.54,-2.67,-1.59,-6.59,2.90,-18.54,-18.54,-6.44,-4.55,-9.64,2.90,-18.54,-18.54,-9.09,-2.76,-7.38,2.90,-18.54,-18.54,-3.54,3.71,-1.54,3.71,-18.54,-18.54,1.87,8.86,3.56,8.86,-18.54,-18.54,6.77,14.10,6.50,14.10,-18.54,-18.54,12.88,9.39,3.87,14.10,-18.54,-18.54,6.22,7.43,3.36,14.10,-18.54,-18.54,7.30,12.33,7.62,14.10,-18.54,-18.54,7.70,10.78,5.18,14.10,-18.54,-18.54,10.33
NOW,Buy,106.06,129.61,Open,,,-0.89,-4.46,-0.89,-4.46,-4.46,-2.81,-2.46,-7.20,-0.89,-7.20,-7.20,-3.69,1.06,-2.56,1.06,-7.20,-7.20,-1.80,-0.38,-4.58,1.06,-7.20,-7.20,-4.46,-2.99,-10.34,1.06,-10.34,-11.40,-9.98,-9.26,-12.83,1.06,-12.83,-13.89,-10.39,-8.13,-13.75,1.06,-13.75,-14.81,-12.30,-8.07,-10.80,1.06,-13.75,-14.81,-9.54,-8.55,-11.92,1.06,-13.75,-14.81,-11.56,-13.20,-15.72,1.06,-15.72,-16.78,-15.59,-6.73,-15.14,1.06,-15.72,-16.78,-7.28,-2.69,-6.21,1.06,-15.72,-16.78,-5.74,-6.05,-8.59,1.06,-15.72,-16.78,-6.39,0.59,-4.04,1.06,-15.72,-16.78,-0.25,1.53,-2.09,1.53,-15.72,-16.78,0.25,4.32,-2.56,4.32,-15.72,-16.78,1.76,7.29,2.81,7.29,-15.72,-16.78,4.40,2.24,-0.62,7.29,-15.72,-16.78,1.62,3.01,-4.29,7.29,-15.72,-16.78,2.62,5.13,-0.33,7.29,-15.72,-16.78,1.56,6.57,1.50,7.29,-15.72,-16.78,4.90,1.79,-3.25,7.29,-15.72,-16.78,-1.14,2.54,-1.63,7.29,-15.72,-16.78,-1.25,-0.19,-6.36,7.29,-15.72,-16.78,-1.93,-0.22,-3.22,7.29,-15.72,-16.78,-2.66,-0.69,-7.19,7.29,-15.72,-16.78,-1.28,-1.40,-4.72,7.29,-15.72,-16.78,-3.77,-4.62,-10.67,7.29,-15.72,-17.96,-9.99,-5.48,-13.70,7.29,-15.72,-20.99,-13.31,-6.72,-10.55,7.29,-15.72,-20.99,-6.86,1.97,-5.38,7.29,-15.72,-20.99,-0.47,5.86,0.41,7.29,-15.72,-20.99,4.30,11.60,3.24,11.60,-15.72,-20.99,9.15,6.66,0.30,11.60,-15.72,-20.99,3.78,5.97,-0.01,11.60,-15.72,-20.99,4.87,12.80,7.20,12.80,-15.72,-20.99,7.67,11.57,5.60,12.80,-15.72,-20.99,11.39
ANET,Buy,151.76,171.15,TP Hit,171.15,2026-06-16,3.50,-0.98,3.50,-0.98,-4.47,3.06,8.89,4.86,8.89,-0.98,-4.47,7.56,11.54,7.74,11.54,-0.98,-4.47,11.42,12.78,9.90,12.78,-0.98,-4.47,12.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANW,Buy,263.22,288.81,TP Hit,288.81,2026-06-18,6.36,-1.95,6.36,-1.95,-8.30,6.20,7.13,3.14,7.13,-1.95,-8.30,6.23,8.32,4.22,8.32,-1.95,-8.30,8.10,7.76,4.50,8.32,-1.95,-8.30,6.34,8.02,5.12,8.32,-1.95,-8.30,7.18,9.72,5.03,9.72,-1.95,-8.30,9.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRWD,Buy,161.93,187.41,TP Hit,187.41,2026-06-29,7.52,-1.04,7.52,-1.04,-8.56,6.76,8.41,4.67,8.41,-1.04,-8.56,5.42,7.68,3.26,8.41,-1.04,-8.56,6.98,8.21,2.82,8.41,-1.04,-8.56,4.90,6.67,3.58,8.41,-1.04,-8.56,5.44,7.44,2.04,8.41,-1.04,-8.56,5.73,9.95,3.93,9.95,-1.04,-8.56,4.28,6.67,2.20,9.95,-1.04,-8.56,5.13,6.09,3.29,9.95,-1.04,-8.56,3.91,6.95,3.44,9.95,-1.04,-8.56,4.78,8.82,4.00,9.95,-1.04,-8.56,8.24,15.74,8.71,15.74,-1.04,-8.56,15.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLTR,Buy,130.21,156.45,TP Hit,156.45,2026-08-04,1.01,-2.33,1.01,-2.33,-3.34,0.67,0.68,-2.73,1.01,-2.73,-3.74,-1.70,3.66,-0.39,3.66,-2.73,-4.05,3.46,3.36,-0.45,3.66,-2.73,-4.11,2.33,4.52,-0.22,4.52,-2.73,-4.75,0.32,0.94,-3.99,4.52,-3.99,-8.51,-1.34,-1.03,-8.46,4.52,-8.46,-12.98,-8.23,-7.12,-10.77,4.52,-10.77,-15.29,-10.38,-9.38,-13.79,4.52,-13.79,-18.31,-12.83,-13.87,-18.31,4.52,-18.31,-22.83,-17.62,-12.39,-16.70,4.52,-18.31,-22.83,-13.27,-8.55,-11.91,4.52,-18.31,-22.83,-11.14,-8.84,-12.01,4.52,-18.31,-22.83,-10.40,-1.51,-8.34,4.52,-18.31,-22.83,-3.44,2.05,-1.74,4.52,-18.31,-22.83,-0.70,2.96,-2.74,4.52,-18.31,-22.83,1.79,6.67,0.96,6.67,-18.31,-22.83,3.19,1.67,-2.69,6.67,-18.31,-22.83,1.54,-0.78,-4.15,6.67,-18.31,-22.83,-0.90,1.59,-3.41,6.67,-18.31,-22.83,-2.63,0.39,-3.08,6.67,-18.31,-22.83,-0.13,4.29,-5.81,6.67,-18.31,-22.83,2.70,5.12,2.05,6.67,-18.31,-22.83,2.73,4.61,-1.18,6.67,-18.31,-22.83,3.25,3.50,-0.89,6.67,-18.31,-22.83,1.67,4.92,1.24,6.67,-18.31,-22.83,3.56,3.43,0.78,6.67,-18.31,-22.83,1.88,1.64,-5.19,6.67,-18.31,-22.83,-4.33,-2.93,-7.28,6.67,-18.31,-22.83,-5.25,-3.76,-6.29,6.67,-18.31,-22.83,-5.60,1.69,-3.76,6.67,-18.31,-22.83,1.01,-2.32,-9.46,6.67,-18.31,-22.83,-5.13,-2.25,-5.96,6.67,-18.31,-22.83,-5.54,-5.02,-7.63,6.67,-18.31,-22.83,-6.11,-5.24,-8.13,6.67,-18.31,-22.83,-5.49,-2.49,-5.03,6.67,-18.31,-22.83,-3.50,20.15,10.04,20.15,-18.31,-22.83,20.15
DDOG,Buy,227.63,266.86,TP Hit,268.39,2026-07-01,3.14,-1.36,3.14,-1.36,-4.50,2.90,4.03,-0.17,4.03,-1.36,-4.50,1.00,4.85,0.27,4.85,-1.36,-4.58,2.40,3.91,-1.07,4.85,-1.36,-5.92,1.53,3.68,-0.79,4.85,-1.36,-5.92,-0.44,-0.90,-5.42,4.85,-5.42,-10.27,-2.03,0.33,-4.91,4.85,-5.42,-10.27,-2.75,-0.86,-3.60,4.85,-5.42,-10.27,-3.10,-0.85,-4.23,4.85,-5.42,-10.27,-2.19,-1.74,-6.55,4.85,-6.55,-11.40,-2.94,6.33,-1.74,6.33,-6.55,-11.40,5.33,10.82,5.49,10.82,-6.55,-11.40,9.20,14.80,7.63,14.80,-6.55,-11.40,14.38,17.91,17.91,17.91,-6.55,-11.40,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZS,Buy,124.73,149.35,TP Hit,149.35,2026-07-01,1.30,-3.87,1.30,-3.87,-5.17,1.11,4.23,-4.19,4.23,-4.19,-8.42,3.84,6.48,2.18,6.48,-4.19,-8.42,4.56,3.31,-0.90,6.48,-4.19,-8.42,2.00,2.71,-1.08,6.48,-4.19,-8.42,-0.28,0.67,-3.87,6.48,-4.19,-10.35,0.10,3.94,-2.41,6.48,-4.19,-10.35,-0.54,3.76,-0.49,6.48,-4.19,-10.35,1.15,4.63,-0.18,6.48,-4.19,-10.35,2.04,1.80,-2.07,6.48,-4.19,-10.35,-0.75,6.26,0.40,6.48,-4.19,-10.35,6.04,12.63,7.03,12.63,-4.19,-10.35,10.32,13.88,7.83,13.88,-4.19,-10.35,13.16,19.74,14.86,19.74,-4.19,-10.35,19.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,Buy,24.62,27.01,TP Hit,27.19,2026-07-07,0.16,-3.17,0.16,-3.17,-3.33,-2.76,-1.18,-4.26,0.16,-4.26,-4.42,-1.22,1.18,-1.58,1.18,-4.26,-4.42,-0.85,2.03,-1.79,2.03,-4.26,-4.42,-0.20,0.57,-3.90,2.03,-4.26,-5.93,-2.80,-1.10,-5.69,2.03,-5.69,-7.72,-1.79,-2.03,-8.77,2.03,-8.77,-10.80,-6.54,-4.22,-6.17,2.03,-8.77,-10.80,-5.52,-2.19,-6.13,2.03,-8.77,-10.80,-4.31,-2.88,-6.17,2.03,-8.77,-10.80,-5.32,-0.41,-4.63,2.03,-8.77,-10.80,-0.69,2.64,0.20,2.64,-8.77,-10.80,1.71,1.87,0.00,2.64,-8.77,-10.80,1.10,7.88,2.07,7.88,-8.77,-10.80,6.05,8.90,5.85,8.90,-8.77,-10.80,8.33,9.67,6.74,9.67,-8.77,-10.80,8.04,10.44,10.44,10.44,-8.77,-10.80,10.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOCU,Buy,45.13,48.28,TP Hit,48.28,2026-07-07,0.44,-2.79,0.44,-2.79,-3.24,-1.29,-0.02,-3.66,0.44,-3.66,-4.10,-0.22,3.04,-3.83,3.04,-3.83,-6.87,-2.07,0.35,-2.71,3.04,-3.83,-6.87,-1.55,-0.09,-6.16,3.04,-6.16,-9.20,-5.65,-2.70,-8.34,3.04,-8.34,-11.38,-3.68,-2.05,-6.38,3.04,-8.34,-11.38,-5.36,-2.46,-5.56,3.04,-8.34,-11.38,-5.45,-0.78,-5.61,3.04,-8.34,-11.38,-1.97,-2.02,-6.34,3.04,-8.34,-11.38,-5.92,0.44,-4.94,3.04,-8.34,-11.38,0.18,2.77,-0.51,3.04,-8.34,-11.38,-0.20,-0.04,-2.84,3.04,-8.34,-11.38,-1.57,2.81,-0.41,3.04,-8.34,-11.38,1.97,3.24,0.89,3.24,-8.34,-11.38,1.42,4.10,-0.80,4.10,-8.34,-11.38,3.92,6.98,4.08,6.98,-8.34,-11.38,6.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATH,Buy,10.75,12.54,TP Hit,12.54,2026-07-20,-0.09,-4.14,-0.09,-4.14,-4.14,-0.93,-0.47,-6.33,-0.09,-6.33,-6.33,-1.86,3.07,-1.26,3.07,-6.33,-6.33,0.37,0.93,-3.53,3.07,-6.33,-6.60,-2.14,0.47,-4.84,3.07,-6.33,-7.91,-4.84,-3.63,-8.09,3.07,-8.09,-11.16,-4.47,-2.14,-6.98,3.07,-8.09,-11.16,-5.49,-2.98,-6.00,3.07,-8.09,-11.16,-5.49,-1.58,-6.42,3.07,-8.09,-11.16,-4.09,-4.05,-7.81,3.07,-8.09,-11.16,-7.63,-1.53,-8.19,3.07,-8.19,-11.26,-2.05,1.81,-1.86,3.07,-8.19,-11.26,-0.65,2.70,-2.51,3.07,-8.19,-11.26,1.12,10.88,3.07,10.88,-8.19,-11.26,7.44,9.53,5.12,10.88,-8.19,-11.26,8.93,14.14,5.58,14.14,-8.19,-11.26,10.05,14.56,7.53,14.56,-8.19,-11.26,8.37,7.44,4.65,14.56,-8.19,-11.26,6.23,10.42,1.58,14.56,-8.19,-12.98,9.77,13.77,7.07,14.56,-8.19,-12.98,8.65,13.30,8.37,14.56,-8.19,-12.98,10.23,12.65,3.95,14.56,-8.19,-12.98,11.07,15.53,10.05,15.53,-8.19,-12.98,11.16,13.12,6.23,15.53,-8.19,-12.98,11.91,15.72,10.88,15.72,-8.19,-12.98,13.02,16.65,8.93,16.65,-8.19,-12.98,16.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WYNN,Sell,105.26,97.70354942992581,TP Hit,97.70354942992581,2026-06-30,1.29,-2.45,1.29,-2.45,-3.74,-2.37,-1.49,-5.73,1.29,-5.73,-7.02,-1.91,-0.31,-5.10,1.29,-5.73,-7.02,-0.67,1.69,-1.56,1.69,-5.73,-7.02,1.51,3.02,0.14,3.02,-5.73,-7.02,2.80,1.83,-1.42,3.02,-5.73,-7.02,-0.26,2.15,0.20,3.02,-5.73,-7.02,1.56,2.48,-0.10,3.02,-5.73,-7.02,1.05,1.59,-0.94,3.02,-5.73,-7.02,1.43,6.42,0.85,6.42,-5.73,-7.02,5.59,6.61,3.51,6.61,-5.73,-7.02,4.58,5.75,3.23,6.61,-5.73,-7.02,5.55,7.18,5.44,7.18,-5.73,-7.02,7.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VVV,Sell,36.32,33.02877928161621,Open,,,-1.13,-4.85,-1.13,-4.85,-4.85,-4.10,-3.03,-4.98,-1.13,-4.98,-4.98,-3.55,-4.68,-7.41,-1.13,-7.41,-7.41,-5.01,-3.80,-7.24,-1.13,-7.41,-7.41,-3.94,-1.94,-5.08,-1.13,-7.41,-7.41,-3.08,-4.13,-5.59,-1.13,-7.41,-7.41,-4.82,-3.28,-4.78,-1.13,-7.41,-7.41,-3.36,-1.78,-5.84,-1.13,-7.41,-7.41,-5.51,-6.14,-9.42,-1.13,-9.42,-9.42,-9.06,-7.90,-10.82,-1.13,-10.82,-10.82,-9.36,-7.38,-10.77,-1.13,-10.82,-10.82,-10.68,-8.98,-10.85,-1.13,-10.85,-10.85,-9.20,-6.77,-9.53,-1.13,-10.85,-10.85,-8.87,-4.47,-9.17,-1.13,-10.85,-10.85,-5.04,-3.41,-7.87,-1.13,-10.85,-10.85,-7.60,-3.94,-7.71,-1.13,-10.85,-10.85,-6.25,-5.97,-8.62,-1.13,-10.85,-10.85,-6.97,-2.04,-6.21,-1.13,-10.85,-10.85,-3.72,-2.64,-4.74,-1.13,-10.85,-10.85,-4.57,-4.68,-7.13,-1.13,-10.85,-10.85,-6.39,-5.89,-7.82,-1.13,-10.85,-10.85,-6.14,-3.72,-7.24,-1.13,-10.85,-10.85,-7.08,-6.94,-9.91,-1.13,-10.85,-10.85,-8.43,-8.65,-12.56,-1.13,-12.56,-12.56,-10.88,-9.46,-13.11,-1.13,-13.11,-13.11,-10.05,-8.45,-11.00,-1.13,-13.11,-13.11,-8.87,-7.43,-9.94,-1.13,-13.11,-13.11,-8.62,-6.94,-10.10,-1.13,-13.11,-13.11,-7.46,-4.60,-7.16,-1.13,-13.11,-13.11,-5.48,-4.93,-7.93,-1.13,-13.11,-13.11,-7.27,-7.96,-9.83,-1.13,-13.11,-13.11,-8.92,-10.02,-12.44,-1.13,-13.11,-13.11,-10.68,-8.34,-10.93,-1.13,-13.11,-13.11,-9.17,-5.31,-10.28,-1.13,-13.11,-13.11,-5.70,-4.87,-7.65,-1.13,-13.11,-13.11,-5.75,-6.11,-7.87,-1.13,-13.11,-13.11,-6.80,-5.89,-9.50,-1.13,-13.11,-13.11,-8.15
